Name,Assigned,Assigned To,Auto Status Suggestion,Completion %,Current Date,Date,Frequency,If Done,If Progress,If/Date,Inbox,Line,Notifications,Room,Show [Date],Show [Schedule],Space 2,Status,Tasks Completed,Total Tasks,Type,Which Date,notes
Clean baseboards,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean light fixture,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,🚽 Half Bath (https://www.notion.so/Half-Bath-2ef97e9c2a3181d881c4f8476b0304b8?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum entire room,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Fluff cushions,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum high-traffic areas,,,,0%,"May 14, 2026",,Daily,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean light fixtures and ceiling fan,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Organize storage areas,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Organize toys and games,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Clean TV screen,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down walls and doors,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Deep clean carpets or mop floors,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Vacuum upholstery,,,,0%,"May 14, 2026",,Monthly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
Wipe down baseboards,,,,0%,"May 14, 2026",,Weekly,0,1,,Yes,,,👨‍👩‍👧‍👦 Family Room (https://www.notion.so/Family-Room-2ef97e9c2a3181c7b087f2438a1f9bf9?pvs=21),🗓️ Schedule:,,,Not started,,,Chores,,
,,,,0%,"May 14, 2026",,,0,1,,No,_______________,,,🗓️ Schedule:,,"   ",Not started,,,Chores,,
New Chore,,,,0%,"May 14, 2026","January 21, 2026",,0,1,0,Yes,_______________,,,"🗓️ Schedule: January 21, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"January 21, 2026",
New Chore,,,,0%,"May 14, 2026","January 19, 2026",,0,1,0,Yes,_______________,,,"🗓️ Schedule: January 19, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Cleaning Session,"January 19, 2026",
New Chore,,,,0%,"May 14, 2026","January 27, 2026",,0,1,0,Yes,_______________,,,"🗓️ Schedule: January 27, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"January 27, 2026",
"Bedroom (Make bed, put away clothes, clear nightstands)",,Jeremiah,,0%,"May 14, 2026","February 3, 2026",,0,1,0,No,_______________,,,"🗓️ Schedule: February 3, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"February 3, 2026",
Kitchen - Herschel,,Herschel,,0%,"May 14, 2026","February 3, 2026",,0,1,0,No,_______________,,,"🗓️ Schedule: February 3, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"February 3, 2026",
"Bedroom (Make bed, put away clothes, clear nightstands)",,Nox,,0%,"May 14, 2026","February 3, 2026",,0,1,0,No,_______________,,,"🗓️ Schedule: February 3, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"February 3, 2026",
Trash & Recycling,,Jeremiah,,0%,"May 14, 2026","February 3, 2026",,0,1,0,No,_______________,,,"🗓️ Schedule: February 3, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"February 3, 2026",
Take out Trash - Jeremiah,,Jeremiah,,0%,"May 14, 2026","February 3, 2026",,0,1,0,No,_______________,,,"🗓️ Schedule: February 3, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"February 3, 2026",
Kitchen,,Nox,,0%,"May 14, 2026","February 3, 2026",,0,1,0,No,_______________,,,"🗓️ Schedule: February 3, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"February 3, 2026",
Main Bathroom - Nox,,Nox,,0%,"May 14, 2026","February 3, 2026",,0,1,0,No,_______________,,,"🗓️ Schedule: February 3, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"February 3, 2026",
Family Room,,Lorraine,,0%,"May 14, 2026","February 3, 2026",,0,1,0,No,_______________,,,"🗓️ Schedule: February 3, 2026",🕝 Time: 00:00 → 00:00,"   ",Not started,,,Chores,"February 3, 2026",
